type,powers
pois,0.045
pois,0.063
pois,0.041
pois,0.047
pois,0.04
pois,0.048
pois,0.055
pois,0.061
pois,0.06
pois,0.051
pois,0.044
pois,0.05
pois,0.047
pois,0.05
pois,0.066
pois,0.052
pois,0.047
pois,0.062
pois,0.041
pois,0.059
pois,0.061
pois,0.053
pois,0.045
pois,0.038
pois,0.046
pois,0.056
pois,0.062
pois,0.059
pois,0.063
pois,0.053
pois,0.052
pois,0.05
pois,0.044
pois,0.058
pois,0.049
pois,0.041
pois,0.055
pois,0.043
pois,0.051
pois,0.051
pois,0.059
pois,0.052
pois,0.044
pois,0.049
pois,0.053
pois,0.036
pois,0.045
pois,0.05
pois,0.041
pois,0.054
pois,0.042
pois,0.054
pois,0.065
pois,0.058
pois,0.046
pois,0.055
pois,0.054
pois,0.052
pois,0.055
pois,0.049
pois,0.039
pois,0.037
pois,0.051
pois,0.047
pois,0.049
pois,0.054
pois,0.027
pois,0.043
pois,0.058
pois,0.045
pois,0.062
pois,0.054
pois,0.059
pois,0.05
pois,0.056
pois,0.045
pois,0.054
pois,0.057
pois,0.053
pois,0.048
pois,0.044
pois,0.04
pois,0.044
pois,0.045
pois,0.044
pois,0.055
pois,0.046
pois,0.061
pois,0.042
pois,0.049
pois,0.048
pois,0.05
pois,0.053
pois,0.049
pois,0.055
pois,0.053
pois,0.041
pois,0.045
pois,0.059
pois,0.05
pois,0.054
pois,0.054
pois,0.048
pois,0.047
pois,0.045
pois,0.054
pois,0.045
pois,0.047
pois,0.054
pois,0.053
pois,0.053
pois,0.058
pois,0.047
pois,0.048
pois,0.046
pois,0.038
pois,0.045
pois,0.04
pois,0.047
pois,0.049
pois,0.036
pois,0.053
pois,0.055
pois,0.052
pois,0.043
pois,0.068
pois,0.05
pois,0.05
pois,0.045
pois,0.05
pois,0.044
pois,0.045
pois,0.044
pois,0.037
pois,0.046
pois,0.051
pois,0.05
pois,0.046
pois,0.049
pois,0.044
pois,0.047
pois,0.053
pois,0.045
pois,0.055
pois,0.051
pois,0.047
pois,0.04
pois,0.046
pois,0.053
pois,0.052
pois,0.05
pois,0.049
pois,0.049
pois,0.041
pois,0.054
pois,0.057
pois,0.039
pois,0.051
pois,0.06
pois,0.057
pois,0.058
pois,0.048
pois,0.05
pois,0.058
pois,0.051
pois,0.04
pois,0.063
pois,0.036
pois,0.059
pois,0.05
pois,0.056
pois,0.057
pois,0.052
pois,0.039
pois,0.04
pois,0.054
pois,0.058
pois,0.043
pois,0.043
pois,0.044
pois,0.05
pois,0.039
pois,0.058
pois,0.043
pois,0.051
pois,0.055
pois,0.061
pois,0.063
pois,0.044
pois,0.059
pois,0.056
pois,0.052
pois,0.054
pois,0.053
pois,0.056
pois,0.061
pois,0.042
pois,0.051
pois,0.046
